ProbeSetID,gene_short_name,Control_rep1,Control_rep2,Control_rep3,RBP2_rep1,RBP2_rep2,RBP2_rep3
XLOC_015464,SOX2,14.5593,14.6603,12.2728,11.2825,10.6266,11.2721
XLOC_015465,ATP11B,4.69923,3.75482,2.47653,6.16538,6.71114,7.84513
XLOC_015466,B3GNT5,0.351122,0.158186,0.0386802,0.493408,0.732248,0.528244
XLOC_015467,LOC100505687,3.11548,3.0909,2.00535,2.45994,3.14985,2.25269
XLOC_015468,KLHL24,1.07429,1.15329,0.821033,2.57222,2.35031,1.98258
XLOC_015469,YEATS2,7.33871,6.52711,6.42228,9.82855,9.87484,11.8812
XLOC_015470,ABCC5-AS1,0,0,0,0,0,0
XLOC_015471,HTR3D,0,0,0,0,0,0
XLOC_015472,HTR3C,0,0,0,0,0,0
XLOC_015473,HTR3E,0,0,0,0.0924826,0.0342417,0
XLOC_015474,EIF2B5,31.3971,35.8391,36.8581,28.2095,26.9666,26.2629
XLOC_015475,DVL3,25.6436,27.8328,27.6259,30.3535,27.9709,27.7134
XLOC_015476,AP2M1,431.716,560.378,726.896,275.006,267.4,298.977
XLOC_015477,ABCF3,48.1703,50.3845,63.1719,45.2539,46.1726,47.3004
XLOC_015478,VWA5B2,0.486748,1.17313,1.17171,0.245651,0.210532,0.384947
XLOC_015479,MIR1224,0,0,0,0,0,0
XLOC_015480,ECE2,54.1333,62.7642,71.6917,37.1077,32.3579,30.877
XLOC_015481,PSMD2,195.016,229.56,275.083,155.083,152.315,189.926
XLOC_015482,EIF4G1,178.858,193.373,199.124,164.307,163.35,181.059
XLOC_015483,SNORD66,0,0,0,0,0,0
XLOC_015484,FAM131A,8.04072,7.94692,10.6037,4.42999,4.08528,6.80114
XLOC_015485,POLR2H,112.692,133.391,157.046,80.6794,83.1863,93.9149
XLOC_015486,CHRD,0.518117,0.767624,0.867532,0.458869,0.362992,0.543068
XLOC_015487,EPHB3,9.71498,9.96639,10.9476,5.26787,5.24559,4.68984
XLOC_015488,VPS8,8.37128,8.19635,6.83831,8.56094,9.03925,7.87732
XLOC_015489,EHHADH-AS1,0,0,0,0,0,0
XLOC_015490,MAP3K13,13.1433,11.2191,8.81033,14.5913,13.8118,15.3813
XLOC_015491,SENP2,14.4987,13.4321,11.9213,22.9312,24.7381,20.8266
XLOC_015492,C3orf65,0,0,0,0,0,0
XLOC_015493,LOC344887,0.0349039,0,0.0384428,0.623961,1.13453,0.406321
XLOC_015494,DNAJB11,39.3108,30.3099,24.2023,117.03,125.006,86.1876
XLOC_015495,AHSG,0.0498215,0.0498337,0.219452,0,0.124477,0.193238
XLOC_015496,FETUB,0,0,0,0,0,0
XLOC_015497,HRG,0,0,0.129293,0,0.0652155,0.0379572
XLOC_015498,KNG1,0,0,0,0.0318097,0,0
XLOC_015499,EIF4A2,130.468,117.671,112.287,142.872,146.857,131.619
XLOC_015500,SNORD2,0,0,0,0,0,0
XLOC_015501,"MIR1248,SNORA81",0,0,3.26106,4.95008,0,5.54259
XLOC_015502,SNORA63,13.1742,38.1469,164.905,33.4246,31.9935,48.9396
XLOC_015503,SNORA4,0,0,13.5626,10.0943,28.9945,11.0991
XLOC_015504,ADIPOQ,0,0,0,0,0,0
XLOC_015505,ST6GAL1,1.80604,1.17811,1.24593,2.04132,1.90758,0.475136
XLOC_015506,RTP1,0,0,0,0,0,0
